Name,Rating,Price,Categories,City,Address,Reviews,Latitude,Longitude
Sushi House,4.5,$$,"Japanese, Sushi Bars",Brampton,"135 Main Street N, Brampton, ON L6X, Canada",177,43.687913,-79.762916
August 8,4.0,$$,"Japanese, Dim Sum, Sushi Bars",Brampton,"25 Peel Centre Drive, UNIT 513, Brampton, ON L6T 5T9, Canada",155,43.7177466810269,-79.7235801815987
Heritage Fish & Chips,4.0,$$,"Seafood, Fish & Chips",Brampton,"295 Queen Street E, Brampton, ON L6W 3R1, Canada",89,43.70221658312672,-79.73652767266209
Mandarin Restaurant,4.0,$$,"Chinese, Buffets",Brampton,"238 Biscayne Crescent, Brampton, ON L6W 4S1, Canada",124,43.677309476884,-79.7082919249438
The Keg Steakhouse + Bar - Bramalea,4.0,$$$,"Seafood, Steakhouses, Bars",Brampton,"46 Peel Centre Drive, Brampton, ON L6T 4E2, Canada",56,43.71509871540358,-79.7261437428246
Gladiator Burger,4.5,$$,"Burgers, Sandwiches, Fast Food",Brampton,"16 Lisa Street, Brampton, ON L6T 5R2, Canada",25,43.713690269351524,-79.72840282331377
Green Bites Dumpling & Tea Bar,4.5,$$,"Chinese, Tea Rooms",Brampton,"35 Resolution Drive, Suite B10, Brampton, ON L6W 0A6, Canada",125,43.6789599,-79.72087
Sweet Palace Restaurant,4.0,$,Indian,Brampton,"1098 Peter Robertson Boulevard, Brampton, ON L6R 3A5, Canada",73,43.7575956710937,-79.7370477803991
RD's Southern BBQ,4.0,$$,"Southern, Barbeque",Brampton,"71 Rosedale Avenue, Brampton, ON L6X 1K5, Canada",114,43.68717151422133,-79.77075626594811
The Works Gourmet Burger Bistro,4.0,$$,Burgers,Brampton,"8 Queen Street E, Brampton, ON L6V 1A2, Canada",99,43.68636,-79.75966
Pho Ngoc Yen Restaurant,4.5,$$,Vietnamese,Mississauga,"1090 Kamato Road, Mississauga, ON L4W 2P3, Canada",461,43.638760740612305,-79.64369129581637
Mirch Masala,4.0,$$,Indian,Brampton,"263 Queen Street E, Brampton, ON L6W 3J3, Canada",57,43.7002,-79.74227
