Name,Rating,Price,Categories,City,Address,Reviews,Latitude,Longitude
Pho Ngoc Yen Restaurant,4.5,$$,Vietnamese,Mississauga,"1090 Kamato Road, Mississauga, ON L4W 2P3, Canada",459,43.638760740612305,-79.64369129581637
The Wilcox Gastropub,4.0,$$,"Gastropubs, Breakfast & Brunch, Cocktail Bars",Mississauga,"30 Eglinton Avenue W, Mississauga, ON L5R 3E7, Canada",356,43.6060467626593,-79.6528506651521
The Maharaja,4.0,$$$,Indian,Mississauga,"4646 Heritage Hills Boulevard, Unit 3, Mississauga, ON L5R 1Y3, Canada",155,43.59939,-79.66033
Rick's Good Eats,4.5,$$,"Indian, Canadian (New)",Mississauga,"6660 Kennedy Road, Unit 1, Mississauga, ON L5T 2V3, Canada",400,43.64849814518965,-79.68609655576972
Union Social Eatery,4.0,$$,"Burgers, Sandwiches, American (Traditional)",Mississauga,"6986 Financial Drive, Unit 6, Mississauga, ON L5N 8J4, Canada",392,43.6112458,-79.7490723
Gyubee Japanese Grill - Mississauga,4.5,$$$,"Japanese, Barbeque",Mississauga,"4559 Hurontario St, Unit A2, Mississauga, ON L4Z 3L9, Canada",124,43.6045973,-79.6494211
Watan Kabob,4.0,$$,Afghan,Mississauga,"55 Matheson Boulevard E, Unit 2, Mississauga, ON L4Z 1X8, Canada",221,43.6199294,-79.6692718
Alioli Ristorante,4.0,$$$,Italian,Mississauga,"350 Burnhamthorpe Road W, Mississauga, ON L5B 3J1, Canada",122,43.5852,-79.644006
The Keg Steakhouse + Bar,4.0,$$$,"Steakhouses, Bars, Seafood",Mississauga,"670 Matheson Boulevard W, Heartland Town Centre, Mississauga, ON L5R 3T2, Canada",99,43.609511,-79.689827
Twin Fish Thai Cuisine,4.0,$$,Thai,Mississauga,"80 Courtneypark Drive E, Unit K2, Mississauga, ON L5T 2Y3, Canada",229,43.6382184,-79.6927568
Scaddabush,3.5,$$,"Italian, Wine Bars, Beer, Wine & Spirits",Mississauga,"209 Rathburn Road West, Mississauga, ON L5B 4E5, Canada",437,43.5933827,-79.64876401
Guru Lukshmi,4.0,$$,Indian,Mississauga,"7070 St Barbara Boulevard, Unit 45 & 50, Mississauga, ON L5W 0E6, Canada",569,43.6393317020495,-79.7159669611217
Miga Korean BBQ Restaurant,4.0,$$$,"Japanese, Korean, Barbeque",Mississauga,"2382 Dundas Street W, Mississauga, ON L5K 1R7, Canada",306,43.5293729514098,-79.6734766202265
Cagneys Steakhouse & Wine Bar,4.0,$$$,"Steakhouses, Wine Bars, Seafood",Mississauga,"128 Queen Street S, Mississauga, ON L5M 1K8, Canada",127,43.58265,-79.71752
Katsuya,4.5,$$,"Japanese, Asian Fusion",Mississauga,"1224 Dundas Street W, Mississauga, ON L5C 4G7, Canada",175,43.5539042328967,-79.6453385342378
