Name,Rating,Price,Categories,City,Address,Reviews,Latitude,Longitude
Moxies,3.5,$$,"Canadian (New), Steakhouses, Lounges",Pickering,"1815 Liverpool Rd, Pickering, ON L1V 1W2, Canada",85,43.83544,-79.08971
Hibachi Grill,4.5,$$,"Japanese, Chinese",Pickering,"1848 Liverpool Road, Suite 6, Pickering, ON L1V 1W3, Canada",163,43.83646,-79.0915
Amici,3.5,$$,Italian,Pickering,"1305 Pickering Parkway, Unit 103 & 104, Pickering, ON L1V 3P2, Canada",50,43.8329590444795,-79.0882793373285
Halibut House Fish & Chips,4.5,$$,"Fish & Chips, Breakfast & Brunch, Chicken Wings",Pickering,"1101 Kingston Road, Unit B1, Pickering, ON L1V 1B5, Canada",25,43.82904479357247,-79.09664898838194
The Works,3.5,$$,Burgers,Pickering,"1794 Liverpool Road, Pickering, ON L1V 4G7, Canada",71,43.8343514,-79.0901353
PORT,3.5,$$$,"Seafood, American (Traditional)",Pickering,"1289 Wharf Street, Pickering, ON L1W 1A2, Canada",161,43.8151,-79.08332
Horn Dawgs,4.5,$$,"Chicken Wings, Barbeque",Pickering,"1410 Bayly Street, Unit 5B, Pickering, ON L1W 3R3, Canada",73,43.8299691969118,-79.0823559086481
Chuuk,3.5,$$,Mexican,Pickering,"774 Liverpool Rd, Pickering, ON L1W 1R9, Canada",97,43.82132,-79.08472
Makimono,3.0,$$,"Japanese, Sushi Bars",Pickering,"1790 Liverpool Road, Pickering, ON L1V 1V9, Canada",111,43.8325699,-79.08981
Zeera By The Bay,4.0,$$,Indian,Pickering,"713 Krosno Boulevard, Pickering, ON L1W 1G4, Canada",65,43.82141,-79.08295
Dragon Rolls,2.5,$$,"Japanese, Thai",Pickering,"1105 Kingston Road, Pickering, ON L1V 1B5, Canada",127,43.83072221878013,-79.09642673143198
Pho Saigon,3.5,$$,"Vietnamese, Thai",Pickering,"1794 Liverpool Road, Pickering, ON L1V 4G7, Canada",64,43.8333032,-79.0896937
Vis-à-Vis,4.0,$$,"Pizza, Italian",Pickering,"1101 Kingston Road, Unit B5, Pickering, ON L1V 1B5, Canada",48,43.828927500300594,-79.09647762541938
Thai Orchid Restaurant,3.5,$$,"Thai, Salad, Seafood",Pickering,"1450 Kingston Road, Pickering, ON L1V 1C1, Canada",56,43.8420661428482,-79.0833150795282
Big M Burgers,4.0,$$,"Hot Dogs, Burgers",Pickering,"711 Krosno Boulevard, Pickering, ON L1W 1G4, Canada",65,43.8216786142599,-79.0837272761269
The Kabab Shoppe,4.0,$$,"Afghan, Persian/Iranian, Mediterranean",Pickering,"1450 Kingston Road, Pickering, ON L1V 1C1, Canada",27,43.84183,-79.08402
The Keg Steakhouse + Bar - Ajax,4.5,$$$,"Steakhouses, Bars, Seafood",Ajax,"190 Kingston Rd E, Ajax, ON L1Z 0C7, Canada",85,43.8636888,-79.0167972
Beryl's Pepper Pot,3.5,$$,Caribbean,Pickering,"1101 B Kingston Road, Unit 3, Pickering, ON L1V 1B5, Canada",38,43.828574167925076,-79.09631065263976
The Pickle Barrel,2.5,$$,"Canadian (New), Tapas/Small Plates, Cocktail Bars",Pickering,"1809 Liverpool Road, Pickering, ON L1V 1W2, Canada",60,43.83460942046511,-79.08955667879255
Jack'S,2.5,$$,"Canadian (New), Sports Bars, Burgers",Pickering,"1355 Kingston Road, Unit #9001, Pickering, ON L1V 1B8, Canada",78,43.8379598,-79.0866626
Fratelli Village Pizzeria,4.0,$$,Pizza,Scarborough,"384 Old Kingston Road, Scarborough, ON M1C 1B6, Canada",122,43.7839699,-79.16996
Maimana Naan & Kabab,4.5,$$,"Afghan, Middle Eastern, Mediterranean",Ajax,"279 Kingston Road, Ajax, ON L1Z 0K5, Canada",109,43.8645515,-79.0104446
Fat Bastard Burrito Co,4.0,$,Tex-Mex,Pickering,"726 Kingston Road, Unit 4, Pickering, ON L1V 1A8, Canada",61,43.82001,-79.11476
Sakura Sushi Japanese Restaurant,4.0,$$,"Japanese, Sushi Bars",Pickering,"1550 Kingston Road, Pickering, ON L1V 1C3, Canada",48,43.84372,-79.08184
