Name,Rating,Price,Categories,City,Address,Reviews,Latitude,Longitude
Mi Ne Japanese Restaurant,4.0,$$,"Japanese, Sushi Bars",Richmond Hill,"10815 Yonge Street, Richmond Hill, ON L4C 3E3, Canada",296,43.8914199,-79.4412
The Keg Steakhouse + Bar,4.0,$$$,"Steakhouses, Bars, Seafood",Richmond Hill,"162 York Boulevard, Richmond Hill, ON L4B 3J6, Canada",237,43.84826,-79.37576
Aneal's Taste of the Islands,4.5,$$,Caribbean,Richmond Hill,"10220 Yonge Street, Richmond Hill, ON L4C 3B6, Canada",158,43.87661,-79.4388
Oyaji Sushi,4.0,$$,"Japanese, Korean",Richmond Hill,"10341 Yonge Street, Unit 5, Richmond Hill, ON L4C 3C1, Canada",137,43.8798103,-79.4384232
Pho Tai Bac,4.0,$$,"Vietnamese, Soup",Richmond Hill,"9555 Yonge Street, Richmond Hill, ON L4C 9M5, Canada",225,43.8598981277762,-79.4338684156537
Cotolet Premium Cutlet,4.5,$$,Japanese,Richmond Hill,"9631 Yonge Street, Suite 2, Richmond Hill, ON L4C 0M5, Canada",92,43.8626771952629,-79.4345868300318
Restoran Malaysia,3.5,$$,Malaysian,Richmond Hill,"815 Major Mackenzie Drive E, Richmond Hill, ON L4C 9X2, Canada",591,43.875849,-79.413679
Bueokae Korean Restaurant - Love's Kitchen,4.5,$$,Korean,Richmond Hill,"10737 Yonge St, Unit 2/3, Richmond Hill, ON L4C 3E3, Canada",200,43.89038,-79.44035
Toshi Ryoriten,4.0,$$$,Japanese,Richmond Hill,"1380 Major Mackenzie Drive E, Suite G-1, Richmond Hill, ON L4S 0A1, Canada",116,43.87957,-79.3958
Sansotei Ramen,4.0,$$,Ramen,Richmond Hill,"9555 Yonge Street, Suite 12, Richmond Hill, ON L4C 9M5, Canada",99,43.8591218177243,-79.4341765518466
Abruzzo Pizza,4.0,$$,"Italian, Pizza",Richmond Hill,"9010 Yonge St, Richmond Hill, ON L4C 6Z8, Canada",259,43.84706,-79.43208
Chillax Coffee,4.5,$$,"Coffee & Tea, Breakfast & Brunch, Juice Bars & Smoothies",Richmond Hill,"10650 Leslie Street, Unit 2, Richmond Hill, ON L4S 0B9, Canada",96,43.89718,-79.39669
Big Boy's Burger,4.0,$$,"Burgers, Sandwiches",Richmond Hill,"10626 Bayview Avenue, Richmond Hill, ON L4C 3N8, Canada",85,43.8905246,-79.4191317
Citro Italian Restaurant,4.0,$$,Italian,Richmond Hill,"10123 Yonge Street, Richmond Hill, ON L4C, Canada",59,43.87428,-79.4375
Haru,4.0,$$,"Japanese, Korean",Richmond Hill,"10 E Wilmot Street, Richmond Hill, ON L4B 1G9, Canada",216,43.8533991511243,-79.3836061656475
Fresh Burger,4.0,$$,Burgers,Richmond Hill,"9206 Leslie Street, Suite 4, Richmond Hill, ON L4B 2N8, Canada",341,43.861341982108016,-79.38746179188539
BB Cafe,4.0,$$,"Coffee & Tea, Bakeries, Persian/Iranian",Richmond Hill,"10067 Yonge Street, Richmond Hill, ON L4C 1T9, Canada",107,43.8729447,-79.4375542
Sarpa Restaurant,4.0,$$$$,Italian,Richmond Hill,"13311 Yonge Street, Richmond Hill, ON L4E 3L6, Canada",109,43.952147722214,-79.4556799545616
Thai Basil,3.5,$$,"Thai, Pan Asian",Richmond Hill,"1070 Major Mackenzie Drive E, Richmond Hill, ON L4S 1P3, Canada",234,43.8764767988194,-79.4116175463104
Ginza Sushi Express,4.5,$$,"Sushi Bars, Thai",Richmond Hill,"10800 Bayview Avenue, Unit 6, Richmond Hill, ON L4S 1M1, Canada",35,43.89469,-79.42087
Scaddabush,3.5,$$,Italian,Richmond Hill,"155A York Boulevard, Richmond Hill, ON L4B 3B4, Canada",438,43.847312,-79.374402
Yang's Fine Chinese Cuisine,3.5,$$,"Dim Sum, Seafood",Richmond Hill,"30-9665 Bayview Avenue, Richmond Hill, ON L4C 9V4, Canada",148,43.8685013871699,-79.4130419067459
Rhapsody Continental Hungarian Cuisine,4.0,$$,Hungarian,Richmond Hill,"10152 Yonge Street, Richmond Hill, ON L4C 1T6, Canada",48,43.87489,-79.43846
Joe's Hamburgers,4.0,$$,"Burgers, Fast Food, Mediterranean",Richmond Hill,"10825 Yonge Street, Richmond Hill, ON L4C 3E3, Canada",127,43.89163855881204,-79.44144233146434
The One Fusion Cuisine | 聚龍軒,4.0,$$,Chinese,Richmond Hill,"9019 Bayview Ave., Richmond Hill, ON L4B 1Y3, Canada",224,43.851401,-79.408161
Yu Seafood,3.5,$$,"Seafood, Dim Sum",Richmond Hill,"270 W Beaver Creek Rd, Richmond Hill, ON L4B 3Z1, Canada",337,43.8444463654611,-79.3873978033662
Nonna's Oven,3.5,$$,"Pizza, Italian, Sandwiches",Richmond Hill,"1285 Elgin Mills Road, Unit 8, Richmond Hill, ON L4S 0B5, Canada",158,43.8961894995064,-79.4034073136497
Frilu Restaurant,4.5,$$$$,Canadian (New),Thornhill,"7713 Yonge Street, Thornhill, ON L3T 2C4, Canada",41,43.81572,-79.42389
Cafe Bon Bon,3.5,$$,"Coffee & Tea, Asian Fusion, Breakfast & Brunch",Richmond Hill,"550 Highway 7 E, Unit 89-90, Richmond Hill, ON L4B 3Z4, Canada",294,43.844869,-79.38455
Smash Kitchen & Bar,4.0,$$,"Comfort Food, American (Traditional), Seafood",Unionville,"4261 Highway 7 E, Unionville, ON L3R 9W6, Canada",860,43.85912,-79.31473
Ming Cuisine,3.5,$$$,"Chinese, Seafood",Richmond Hill,"1 Spadina Road, Unit 21-23, Richmond Hill, ON L4B 3M2, Canada",75,43.8611717,-79.3951797
Touro Brazilian Steakhouse,3.5,$$$$,"Brazilian, Wine Bars, Steakhouses",Richmond Hill,"125 York Boulevard, Richmond Hill, ON L4B 3B4, Canada",252,43.84711,-79.37669
Mexican Amigos,3.0,$$,Mexican,Richmond Hill,"10720 Yonge Street, Richmond Hill, ON L4C 3C9, Canada",163,43.8891480466306,-79.4420903921127
Moxies,3.0,$$,"Canadian (New), Steakhouses, Lounges",Richmond Hill,"159 York Boulevard, Richmond Hill, ON L4B 3B4, Canada",170,43.84789915860857,-79.37492327312445
Tomo Japanese Restaurant,3.5,$$,"Japanese, Sushi Bars",Richmond Hill,"9625 Yonge Street, Unit 1&2, Richmond Hill, ON L4C 5T2, Canada",261,43.8607832014079,-79.4341329959921
The King's Landing,4.5,$$,"Chicken Wings, Canadian (New), Burgers",Whitchurch-Stouffville,"5946 Main Street, Whitchurch-Stouffville, ON L4A 3A1, Canada",155,43.9692,-79.25796
Fat Ninja Bite,4.5,$$,"Japanese, Burgers, Korean",Toronto,"3517 Kennedy Road, Toronto, ON M1V 4Y3, Canada",540,43.82298649562184,-79.30644546697775
Chingu Friend Korean BBQ,4.0,$$,"Korean, Barbeque",Richmond Hill,"10610 Bayview Avenue, Richmond Hill, ON L4C 3N8, Canada",73,43.8897661268621,-79.4197127223015
Ushi Shabu Shabu,4.5,$$$,Hot Pot,Richmond Hill,"550 Highway 7 E, Unit 80-82, Richmond Hill, ON L4B 3Z4, Canada",66,43.8441265,-79.3846104
Touhenboku Ramen,3.0,$$,Ramen,Richmond Hill,"1070 Major Mackenzie Drive E, Unit F108, Richmond Hill, ON L4S 1P3, Canada",128,43.8770453814912,-79.4135855510831
