Name,Rating,Price,Categories,City,Address,Reviews,Latitude,Longitude
Nonesuch River Brewing,4.0,$$,"Breweries, Pubs, American (New)",Scarborough,"201 Gorham Rd, Scarborough, ME 04074",312,43.61724,-70.34323
The Bait Shed,4.5,$$,"Seafood, American (Traditional), Cocktail Bars",Scarborough,"84 Jones Creek Rd, Scarborough, ME 04074",257,43.5438041687012,-70.3370819091797
Jojo's Thai Kitchen,4.5,$$,"Thai, Noodles",Scarborough,"183 US Route 1, Scarborough, ME 04074",94,43.5952317000134,-70.327964907114
Eventide Oyster Company,4.5,$$,Seafood,Portland,"86 Middle St, Portland, ME 04101",3822,43.65943,-70.25123
Scales,4.5,$$$,"Seafood, American (New), Beer, Wine & Spirits",Portland,"68 Commercial St, Portland, ME 04101",849,43.65674221030201,-70.24961269170983
Bite Into Maine,4.5,$$,"Seafood, Desserts, Sandwiches",Scarborough,"185 US Route One, Ste 2, Scarborough, ME 04074",179,43.59532,-70.32772
Dunstan Tap & Table,4.0,$$,"Burgers, Cocktail Bars, Salad",Scarborough,"6 Stewart Dr, Scarborough, ME 04074",157,43.564371,-70.398017
Luke's Lobster Portland Pier,4.5,$$,"Seafood, Soup, Sandwiches",Portland,"60 Portland Pier, Portland, ME 04101",701,43.655077,-70.2495978
Oishi Japanese restaurant & Bar,4.0,$$,"Japanese, Sushi Bars, Noodles",Scarborough,"285 US-1, Scarborough, ME 04074",43,43.58930604803705,-70.34316607980867
Tuscan Table,4.0,$$,Italian,South Portland,"390 Gorham Rd, South Portland, ME 04106",318,43.6359695864413,-70.3326553924661
Sur Lie,4.5,$$,"American (New), Tapas Bars",Portland,"11 Free St, Portland, ME 04101",285,43.6567972,-70.2575073
Central Provisions,4.5,$$$,"Tapas/Small Plates, Cocktail Bars",Portland,"414 Fore St, Portland, ME 04101",1215,43.656028,-70.253784
The Highroller Lobster,4.5,$$,"Seafood, American (Traditional), Bars",Portland,"104 Exchange St, Portland, ME 04101",1529,43.658297,-70.256063
Evo Kitchen + Bar,4.5,$$$,"Tapas/Small Plates, Mediterranean, Bars",Portland,"443 Fore St, Portland, ME 04101",381,43.6558599,-70.2550399
Terlingua,4.5,$$,"Barbeque, Latin American, Bars",Portland,"40 Washington Ave, Portland, ME 04101",316,43.664676267002065,-70.25191722903502
Pine Point Grill,4.0,$$,"American (New), Pizza, Burgers",Scarborough,"240 Pine Point Rd, Scarborough, ME 04074",102,43.55154,-70.35662
Boda,4.5,$$,"Thai, Tapas/Small Plates",Portland,"671 Congress St, Portland, ME 04101",525,43.6533317565918,-70.2665863037109
Street & Co.,4.5,$$$,"Seafood, American (New), Mediterranean",Portland,"33 Wharf St, Portland, ME 04101",1676,43.6558679491282,-70.2540271729231
Isa Bistro,4.5,$$,"American (New), New Mexican Cuisine",Portland,"79 Portland St, Portland, ME 04101",266,43.6580973363855,-70.2649379650297
The Honey Paw,4.5,$$,"Asian Fusion, American (New), Noodles",Portland,"78 Middle St, Portland, ME 04101",607,43.6595876703614,-70.2510230719194
O'Reilly's Cure,3.5,$$,"Cocktail Bars, Irish Pub, American (New)",Scarborough,"264 Route 1, Scarborough, ME 04074",148,43.5888318595189,-70.3399762220972
Duckfat,4.5,$$,American (New),Portland,"43 Middle St, Portland, ME 04101",2933,43.66025597804476,-70.25035486716648
Broken Arrow,4.5,$$,"Tapas/Small Plates, American (New)",Portland,"545 Congress St, Portland, ME 04101",92,43.6555,-70.26188
Scarborough Fish & Lobster,4.5,$$,"Seafood Markets, Seafood, Diners",Scarborough,"697 US Rt 1, Scarborough, ME 04074",343,43.564668,-70.395688
The Maine Bagel,4.5,$,"Breakfast & Brunch, Bagels, Sandwiches",Scarborough,"172 US Rte 1, Scarborough, ME 04074",58,43.595656,-70.325706
