Name,Rating,Price,Categories,City,Address,Reviews,Latitude,Longitude
Pai Northern Thai Kitchen,4.5,$$,Thai,Toronto,"18 Duncan Street, Toronto, ON M5H 3G8, Canada",3401,43.64784,-79.38872
Richmond Station,4.5,$$$,Canadian (New),Toronto,"1 Richmond Street W, Toronto, ON M5H 3W4, Canada",888,43.6513729,-79.379285
Byblos,4.5,$$$$,"Mediterranean, Middle Eastern",Toronto,"11 Duncan Street, Toronto, ON M5V 3M2, Canada",898,43.647546,-79.388123
Osteria Giulia,4.5,$$$$,Italian,Toronto,"134 Avenue Road, Toronto, ON M5R 2H6, Canada",30,43.67431,-79.39668
Ristorante Sotto Sotto,4.0,$$$,Italian,Toronto,"120 Avenue Road, Toronto, ON M5R 2H4, Canada",127,43.67374,-79.39646
Joso's,4.5,$$$,Seafood,Toronto,"202 Davenport Road, Toronto, ON M5R 1J2, Canada",171,43.6751099,-79.39607
Yasu,4.5,$$$$,"Japanese, Sushi Bars",Toronto,"81 Harbord Street, Toronto, ON M5S 1G4, Canada",424,43.66269,-79.40314
KINKA IZAKAYA ORIGINAL,4.0,$$,"Japanese, Pubs",Toronto,"398 Church Street, Toronto, ON M5B 2A2, Canada",1804,43.66042406856627,-79.37890046282942
Gusto 101,4.0,$$,Italian,Toronto,"101 Portland Street, Toronto, ON M5V 2N3, Canada",1126,43.645002131066,-79.400309337027
Lee,4.0,$$$,Asian Fusion,Toronto,"497 Richmond St W, Toronto, ON M5V 1Y3, Canada",710,43.64723,-79.39931
Canoe,4.0,$$$$,Canadian (New),Toronto,"66 Wellington Street  W, 54th Floor, TD Bank Tower, Toronto, ON M5K 1H6, Canada",745,43.646954,-79.382159
Her Father's Cider Bar & Kitchen,4.5,$$,"Gastropubs, Bars, Canadian (New)",Toronto,"119 Harbord Street, Toronto, ON M5S 1G7, Canada",188,43.66232,-79.40453
