Name,Rating,Price,Categories,City,Address,Reviews,Latitude,Longitude
"Ay Caramba, Eh",4.5,$$,Mexican,Vaughan,"65-3540 Rutherford Road, Vaughan, ON L4H 3T8, Canada",349,43.8285439,-79.5490928
Marcellos Pizzeria,4.0,$$,"Pizza, Italian",Concord,"3175 Rutherford Road, Concord, ON L4K 5Y6, Canada",237,43.828125,-79.535849
Southeast Sandwiches,5.0,$,Sandwiches,Woodbridge,"9200 Weston Road, Unit 21, Woodbridge, ON L4H 2P8, Canada",128,43.82805866750123,-79.55856570000002
Taste of Naples Pizzeria,5.0,$$,"Pizza, Italian",Vaughan,"3560 Rutherford Rd, Unit 60, Vaughan, ON L4H 2J3, Canada",65,43.82799,-79.54767
Sushi Wa,4.5,$$,"Sushi Bars, Japanese, Asian Fusion",Vaughan,"7000 Bathurst Street, Unit C-7, Vaughan, ON L4J 7L1, Canada",236,43.79311,-79.44669
255 By Alta Rossa,4.0,$$,"Italian, Pizza",Vaughan,"255 Bass Pro Mills Drive, Unit 703A, Vaughan, ON L4K 0A2, Canada",63,43.8224763919401,-79.5404497957516
Truly Thai Cuisine,4.0,$$,Thai,Vaughan,"3175 Rutherford Rd, Unit 47, Vaughan, ON L4K 5Y6, Canada",154,43.8278295910424,-79.538071515967
Anna Maria Trattoria,4.5,$$$,Italian,Concord,"2900 Langstaff Road, Concord, ON L4K 4R9, Canada",67,43.8135842983034,-79.5254172384739
Zizi Trattoria,4.0,$$$,"Italian, Pizza",Woodbridge,"9311 Weston Road, Woodbridge, ON L4H 3G8, Canada",55,43.8266671354381,-79.55588439039
Porcello Cantina,4.0,$$,Italian,Vaughan,"125 Hawkview Boulevard, Vaughan, ON L4H 3T7, Canada",40,43.82864,-79.5524
Belsito Trattoria,4.5,$$,"Pizza, Italian, Mediterranean",Kleinburg,"10429 Islington Avenue, Kleinburg, ON L0J, Canada",50,43.8425299,-79.62604
Picko Lime,4.0,$$,Vietnamese,Vaughan,"3175 Rutherford Road, Building G, Unit 35, Vaughan, ON L4K 5Y6, Canada",104,43.8280206984166,-79.536987023418
Hank Daddy's Barbecue,4.0,$$,"Southern, Barbeque, Sandwiches",Vaughan,"7777 Keele Street, Vaughan, ON L4K 1Y7, Canada",154,43.80123417831632,-79.4987816
Pizza Break,4.5,$,"Pizza, Italian",Vaughan,"3560 Rutherford Rd, Unit 63, Vaughan, ON L4L 1A6, Canada",67,43.8283880947885,-79.5505934581161
Pho Metro,4.0,$$,Vietnamese,Vaughan,"2499 Rutherford Road, Unit 11, Vaughan, ON L4K 0J9, Canada",61,43.8346726113,-79.515997701
Tinh Tam Trai,4.5,$,"Vegetarian, Vietnamese",Vaughan,"3255 Rutherford Road, Unit 10, Vaughan, ON L4K 5Y5, Canada",50,43.8275231940182,-79.5401382208633
Grazie Ristorante,3.5,$$,Italian,Vaughan,"9100 Jane Street, Vaughan, ON L4K 0A4, Canada",142,43.82970071406489,-79.53522307867081
Memphis BBQ,4.5,$$,"Barbeque, American (Traditional)",Woodbridge,"8074 Islington Avenue, Woodbridge, ON L4L 1W5, Canada",306,43.789337,-79.587131
Farro Ristorante,4.0,$$,Italian,Vaughan,"2316 Major Mackenzie Drive, Vaughan, ON L6A 1W6, Canada",70,43.8549099,-79.5147999
The Keg Steakhouse + Bar - Vaughan Mills,3.5,$$$,"Steakhouses, Bars, Seafood",Vaughan,"3300 Rutherford Road, Vaughan, ON L4K 5Z2, Canada",80,43.829736505249194,-79.53994124994492
B's Kitchen Fine Vietnamese Cuisine,4.0,$$,Vietnamese,Vaughan,"3550 Rutherford Road, Unit 88-89, Vaughan, ON L4H 3T8, Canada",30,43.82791,-79.54966
Ricci's Pizzeria & Sandwich Shoppe,4.0,$$,"Sandwiches, Pizza, Italian",Woodbridge,"8401 Weston Road, Unit 19, Woodbridge, ON L4L 1A6, Canada",202,43.80774072175945,-79.54994499999502
Fresh Burger,4.0,$$,"Burgers, Poutineries",Vaughan,"3300 Rutherford Road, Vaughan, ON L4K 5Z2, Canada",64,43.8297111307234,-79.5422846451402
Zafferano Ristorante,4.0,$$,Italian,Woodbridge,"8633 Weston Road, Woodbridge, ON L4L 9R6, Canada",66,43.812339,-79.551786
Evviva Breakfast & Lunch,3.5,$$,"Breakfast & Brunch, Sandwiches, Cocktail Bars",Vaughan,"3175 Rutherford Road, Unit 83, Vaughan, ON L4K 0A3, Canada",131,43.8294352443415,-79.5362065238037
Motorino Enoteca,3.5,$$,Italian,Woodbridge,"4101 Rutherford Road, Woodbridge, ON L4L 1A5, Canada",71,43.823486,-79.568345
Suliko Restaurant,4.0,$$,"Russian, Modern European",Concord,"1311 Alness Street, Unit 8, Concord, ON L4K 1E8, Canada",154,43.7859117,-79.4828488
Royal Jade,4.0,$$,"Hakka, Thai",Vaughan,"2100 Steeles Avenue W, Unit 1, Vaughan, ON L4K 2V1, Canada",75,43.78318,-79.489917
Ciao Roma,4.0,$$,"Italian, Pizza",Vaughan,"28 Roytech Road, Unit 12a, Vaughan, ON L4L 8E3, Canada",67,43.8038292,-79.5497971
The Captain's Boil,3.5,$$,"Cajun/Creole, Seafood, Asian Fusion",Concord,"3255 Rutherford Road, Unit 7-9, Concord, ON L4K 5Y5, Canada",112,43.828013415037475,-79.53940859755325
